time,gFx,gFy,gFz,gFTotal
271.22807598114014,-0.2154693603515625,-1.9069976806640625,-0.6187286376953125,2.016
271.2388789653778,-0.2456817626953125,-1.8741302490234375,-0.498748779296875,1.955
271.24741792678833,-0.34014892578125,-1.8160247802734375,-0.3542633056640625,1.881
271.2585709095001,-0.4767303466796875,-1.7289886474609375,-0.209075927734375,1.806
271.2678360939026,-0.66217041015625,-1.6524810791015625,-0.0679168701171875,1.782
271.279314994812,-0.9105987548828125,-1.6185455322265625,0.0377197265625,1.857
271.2919330596924,-1.2216949462890625,-1.6509857177734375,0.1092529296875,2.057
271.2986559867859,-1.5449371337890625,-1.69329833984375,0.2296600341796875,2.304
271.3072428703308,-1.8503875732421875,-1.7653045654296875,0.309326171875,2.576
271.31756687164307,-2.19427490234375,-1.82794189453125,0.4200439453125,2.887
271.3279299736023,-2.6190185546875,-1.879669189453125,0.6552581787109375,3.29
271.3388919830322,-3.0429840087890625,-1.86376953125,0.968536376953125,3.697
271.34790992736816,-3.2971649169921875,-1.9325103759765625,0.712921142578125,3.888
271.3576159477234,-3.46612548828125,-1.907684326171875,0.849578857421875,4.047
271.3674509525299,-3.7674560546875,-1.9860687255859375,1.064666748046875,4.39
271.3782148361206,-4.011749267578125,-2.000701904296875,1.2458953857421875,4.653
271.3898730278015,-4.0233306884765625,-1.825225830078125,1.3218231201171875,4.611
271.3983108997345,-3.767120361328125,-1.5637969970703125,1.230682373046875,4.26
271.4078719615936,-3.4552764892578125,-1.2616729736328125,1.2807769775390625,3.895
271.4176278114319,-3.240997314453125,-1.0289459228515625,1.262115478515625,3.627
271.42760396003723,-3.0402069091796875,-0.81671142578125,1.20556640625,3.371
271.4386100769043,-2.781158447265625,-0.545928955078125,1.1456451416015625,3.057
271.4475808143616,-2.4736785888671875,-0.3203582763671875,1.0382080078125,2.702
271.45745182037354,-2.2288665771484375,-0.121185302734375,0.94049072265625,2.422
271.4675838947296,-2.057769775390625,0.08538818359375,0.8939971923828125,2.245
271.47750997543335,-1.8653106689453125,0.2903594970703125,0.8412933349609375,2.067
271.48829793930054,-1.6695098876953125,0.4598388671875,0.754364013671875,1.889
271.49784803390503,-1.4917144775390625,0.595001220703125,0.6821746826171875,1.745
271.50665187835693,-1.3233184814453125,0.7154998779296875,0.5849609375,1.614
271.51681995391846,-1.1469268798828125,0.8307037353515625,0.4792938232421875,1.495
